id,interests
stu276,Reinforcement Learning|Ontologies
stu277,Semantic Web|Data Management
stu278,Deep Learning
stu279,Wireless Networks|Information Retrieval
stu280,Network Security
stu281,Reinforcement Learning|Machine Learning
stu282,Computer Vision
stu283,Requirements Engineering|Artificial Intelligence
stu284,Reinforcement Learning
stu285,Software Testing
stu286,Computer Vision
stu287,Semantic Web|Data Management
stu288,Software Testing
stu289,Reinforcement Learning
stu290,Deep Learning
stu291,Reinforcement Learning|Data Mining
stu292,Requirements Engineering|Wireless Networks
stu293,Requirements Engineering|Recommender Systems
stu294,Computer Vision
stu295,Semantic Web|Data Management
stu296,Natural Language Processing
stu297,Databases|Semantic Web
stu298,Natural Language Processing
stu299,Information Retrieval
